Species,SSPModel,ElevationRange,ElevationRangeNumeric,PercentSuitableHabitat
Poly,ssp245E,D,""">1200""",89.49004975
Poly,zzssp245L,D,""">1200""",94.0920398
Poly,ssp370E,D,""">1200""",81.96517413
Poly,zzssp370L,D,""">1200""",75
Poly,Ahist,D,""">1200""",91.60447761
Poly,Current,D,""">1200""",97.76119403
Rhy,ssp245E,D,""">1200""",97.69900498
Rhy,zzssp245L,D,""">1200""",96.26865672
Rhy,ssp370E,D,""">1200""",96.82835821
Rhy,zzssp370L,D,""">1200""",83.83084577
Rhy,Ahist,D,""">1200""",99.3159204
Rhy,Current,D,""">1200""",99.75124378
Tetra,zzssp245L,D,""">1200""",99.75124378
Tetra,ssp245E,D,""">1200""",97.76119403
Tetra,ssp370E,D,""">1200""",97.07711443
Tetra,zzssp370L,D,""">1200""",96.57960199
Tetra,Ahist,D,""">1200""",99.37810945
Tetra,Current,D,""">1200""",99.75124378
Thuid,ssp245E,D,""">1200""",97.76119403
Thuid,zzssp245L,D,""">1200""",92.78606965
Thuid,ssp370E,D,""">1200""",97.07711443
Thuid,zzssp370L,D,""">1200""",81.40547264
Thuid,Ahist,D,""">1200""",99.19154229
Thuid,Current,D,""">1200""",99.75124378
