"","diff","lwr","upr","p adj"
"zz370L:C-ssp245E:A",2.54327002759997,-29.5835475515948,34.6700876067948,1
"Ahistorical:D-ssp245E:A",58.7409974709999,26.614179891805,90.8678150501947,3.93133450238281e-08
"Current:D-ssp245E:A",60.1573064849999,28.0304889058051,92.2841240641947,1.55326651540832e-08
"ssp245E:D-ssp245E:A",56.9813408179999,24.8545232388051,89.1081583971947,1.22194039664514e-07
"ssp370E:D-ssp245E:A",54.663744251,22.5369266718052,86.7905618301948,5.25507270809911e-07
"zz245L:D-ssp245E:A",55.6937871699999,23.5669695908051,87.8206047491947,2.76179194402815e-07
"zz370L:D-ssp245E:A",45.178765713,13.0519481338051,77.3055832921948,0.000129007405270776
"zz245L:A-ssp370E:A",2.549766717,-29.5770508621948,34.6765842961948,1
"zz370L:A-ssp370E:A",-18.3833592538999,-50.5101768330947,13.7434583252949,0.906463869207979
"Ahistorical:B-ssp370E:A",34.6434241859999,2.51660660680508,66.7702417651947,0.0190851095764332
"Current:B-ssp370E:A",40.4071341589999,8.28031657980507,72.5339517381947,0.00147126058822378
"ssp245E:B-ssp370E:A",1.53889713199998,-30.5879204471948,33.6657147111948,1
"ssp370E:B-ssp370E:A",-8.54575505629998,-40.6725726354948,23.5810625228948,0.999998769764372
"zz245L:B-ssp370E:A",-5.68966377829999,-37.8164813574948,26.4371538008948,0.999999999662355
"zz370L:B-ssp370E:A",-24.8615445299,-56.9883621090948,7.26527304929481,0.404924834967251
"Ahistorical:C-ssp370E:A",60.3606332049999,28.2338156258051,92.4874507841947,1.35787168176194e-08
"Current:C-ssp370E:A",61.5601783999999,29.4333608208051,93.6869959791947,6.10874373307979e-09
"ssp245E:C-ssp370E:A",51.054209103,18.9273915238052,83.1810266821948,4.6841130503239e-06
"ssp370E:C-ssp370E:A",44.425442757,12.2986251778052,76.5522603361948,0.000192615554018061
"zz245L:C-ssp370E:A",45.323680392,13.1968628128052,77.4504979711948,0.000119353737514927
"zz370L:C-ssp370E:A",12.0036121716,-20.1232054075948,44.1304297507948,0.999542089359151
"Ahistorical:D-ssp370E:A",68.2013396149999,36.0745220358051,100.328157194195,6.24034157681308e-11
"Current:D-ssp370E:A",69.6176486289999,37.4908310498051,101.744466208195,2.27968754984431e-11
"ssp245E:D-ssp370E:A",66.441682962,34.3148653828052,98.5685005411948,2.15478301868188e-10
"ssp370E:D-ssp370E:A",64.124086395,31.9972688158052,96.2509039741948,1.07377229330297e-09
"zz245L:D-ssp370E:A",65.154129314,33.0273117348052,97.2809468931948,5.27937693561853e-10
"zz370L:D-ssp370E:A",54.639107857,22.5122902778052,86.7659254361948,5.33602055874383e-07
"zz370L:A-zz245L:A",-20.9331259708999,-53.0599435500947,11.1936916082949,0.745750617953401
"Ahistorical:B-zz245L:A",32.0936574689999,-0.0331601101949204,64.2204750481947,0.0506021010552852
"Current:B-zz245L:A",37.8573674419999,5.73054986280507,69.9841850211947,0.00483522064863739
"ssp245E:B-zz245L:A",-1.01086958500002,-33.1376871641948,31.1159479941948,1
"ssp370E:B-zz245L:A",-11.0955217733,-43.2223393524948,21.0312958058948,0.999870817233237
"zz245L:B-zz245L:A",-8.2394304953,-40.3662480744948,23.8873870838948,0.999999386896805
"zz370L:B-zz245L:A",-27.4113112469,-59.5381288260948,4.7155063322948,0.221599918226763
"Ahistorical:C-zz245L:A",57.8108664879999,25.6840489088051,89.9376840671947,7.17923420712197e-08
"Current:C-zz245L:A",59.0104116829999,26.8835941038051,91.1372292621947,3.29829250578229e-08
"ssp245E:C-zz245L:A",48.504442386,16.3776248068052,80.6312599651948,2.05452466425227e-05
"ssp370E:C-zz245L:A",41.87567604,9.7488584608052,74.0024936191948,0.000714883589440496
"zz245L:C-zz245L:A",42.773913675,10.6470960958052,74.9007312541948,0.000454103047410448
"zz370L:C-zz245L:A",9.45384545459999,-22.6729721245948,41.5806630337948,0.99999199250652
"Ahistorical:D-zz245L:A",65.6515728979999,33.5247553188051,97.7783904771947,3.73864272873448e-10
"Current:D-zz245L:A",67.0678819119999,34.9410643328051,99.1946994911947,1.38875799748917e-10
"ssp245E:D-zz245L:A",63.891916245,31.7650986658051,96.0187338241948,1.25897470226732e-09
"ssp370E:D-zz245L:A",61.574319678,29.4475020988052,93.7011372571948,6.05114569562915e-09
"zz245L:D-zz245L:A",62.604362597,30.4775450178051,94.7311801761948,3.02439695509804e-09
"zz370L:D-zz245L:A",52.08934114,19.9625235608052,84.2161587191948,2.52894167374063e-06
"Ahistorical:B-zz370L:A",53.0267834398998,20.899965860705,85.1536010190946,1.4360154219073e-06
"Current:B-zz370L:A",58.7904934128998,26.663675833705,90.9173109920946,3.8066942265047e-08
"ssp245E:B-zz370L:A",19.9222563858999,-12.2045611932949,52.0490739650947,0.819752339626135
"ssp370E:B-zz370L:A",9.83760419759994,-22.2892133815949,41.9644217767948,0.99998364244735
"zz245L:B-zz370L:A",12.6936954755999,-19.4331221035949,44.8205130547947,0.998925489175251
"zz370L:B-zz370L:A",-6.47818527600007,-38.6050028551949,25.6486323031947,0.999999994936895
"Ahistorical:C-zz370L:A",78.7439924588998,46.617174879705,110.870810038095,1.44551037806195e-13
"Current:C-zz370L:A",79.9435376538999,47.816720074705,112.070355233095,1.24567023362943e-13
"ssp245E:C-zz370L:A",69.4375683568999,37.3107507777051,101.564385936095,2.5904167699764e-11
"ssp370E:C-zz370L:A",62.8088020108999,30.6819844317051,94.9356195900947,2.63333355121631e-09
"zz245L:C-zz370L:A",63.7070396458999,31.5802220667051,95.8338572250947,1.4287183658368e-09
"zz370L:C-zz370L:A",30.3869714254999,-1.73984615369488,62.5137890046947,0.0911825157178069
"Ahistorical:D-zz370L:A",86.5846988688998,54.457881289705,118.711516448095,1.10578213252666e-13
"Current:D-zz370L:A",88.0010078828998,55.874190303705,120.127825462095,1.08912878715728e-13
"ssp245E:D-zz370L:A",84.8250422158999,52.6982246367051,116.951859795095,1.19126930542279e-13
"ssp370E:D-zz370L:A",82.5074456488999,50.3806280697051,114.634263228095,1.20237153566904e-13
"zz245L:D-zz370L:A",83.5374885678999,51.4106709887051,115.664306147095,1.16240350678254e-13
"zz370L:D-zz370L:A",73.0224671108999,40.8956495317051,105.149284690095,2.04058991926104e-12
"Current:B-Ahistorical:B",5.76370997299999,-26.3631076061948,37.8905275521948,0.999999999556465
